영화명,감독,개봉일자,전국 스크린수,전국 총 매출,전국 관람객,서울 총 매출,서울 관람객,장르,등급,영화코드,영화배우목록,actor1,actor2,actor3,actor4,actor5,value1,value2,value3,value4,value5
타워,김지훈,2012-12-25,617,37654858000,5181014,9052298500,1186378,드라마,12세이상관람가,20124039,설경구 손예진 김상경 김인권 도지한 안성기 이한위 김성오 송재호 차인표 박철민 조민아 권현상 박정학 임경만 장혜리 조윤경 배진호 안용우 전배수 이창용 박영수 이주실 김수진 권태원 김응수 전국향 정인기,설경구,손예진,김상경,김인권,도지한,,,,,
범죄와의 전쟁: 나쁜놈들 전성시대,윤종빈,2012-02-02,699,36479147500,4710454,11716858500,1451900,범죄,청소년관람불가,20113557,최민식 하정우 조진웅 마동석 곽도원 김성균 박성광 이철민 임자연 임헌호 권종현 박재현 박태호 신수정 이강곤 이낙준 권율 송영창 박병은 김홍파 이희준 유재명 장준녕 김종수 오만석 정재헌 고규필 이세랑 박인수 권태원 강신철 한수현 이유준 김응수 안민영 노태엽 김종구 이윤희 김재영 손병욱 이승민 김영선,최민식,하정우,조진웅,마동석,곽도원,,,,,
바람과 함께 사라지다,김주호,2012-08-08,694,34524377161,4897551,8302901161,1122802,코미디,12세이상관람가,20124067,차태현 오지호 민효린 성동일 신정근 고창석 송종호 이채영 김길동 천보근 김향기 최대호 정종열 임창훈 임혜인 최태환 이아람 이예은 이주현 문영동 김강일 오나라 진용욱 오희준 이언수 최광덕 이상협,차태현,오지호,민효린,성동일,신정근,,,,,
내 아내의 모든 것,민규동,2012-05-17,563,34222160500,4598583,11547286500,1475165,코미디,15세이상관람가,20113554,임수정 이선균 류승룡 이달형 이진희 김도균 김선일 최차원 신경철 옥광희 박희본 김지영 정대용 남명렬 김도영 한이진 박현우,임수정,이선균,류승룡,이달형,이진희,,,,,
연가시,박정우,2012-07-05,759,32154766664,4513026,7819583000,1040068,공포(호러),15세이상관람가,20124062,김명민 강지원 문정희 김동완 이하늬 강신일 최일화 이행춘 장형원 정경임 최동헌 김상오 최정수 박유정 황경호 이민수 이은채 박종원 박진영 서병덕 송광주 신상열 안용우 이나연 이동하 이주원 송영창 조덕현 최정우 전국환 주석태 김승훈 정인기 김태훈,김명민,강지원,문정희,김동완,이하늬,,,,,
건축학개론,이용주,2012-03-22,593,30219800500,4110645,11003948000,1431173,멜로/로맨스,12세이상관람가,20124074,엄태웅 한가인 이제훈 배수지 고준희 조정석 신민영 신예진 유연석 조현철 박진우 김의성 이승호 박수영 박지은,엄태웅,한가인,이제훈,배수지,고준희,,,,,
댄싱퀸,이석훈,2012-01-18,534,30129259500,4057546,8223006000,1055086,코미디,12세이상관람가,20113743,황정민 엄정화 정성화 오나라 박정민 박사랑 임호걸 정원영 이정건 안은정 라미란 송원석 이대연 이한위 최우리 천보근 권병길 조달환 서동원 정아미 어성욱,황정민,엄정화,정성화,오나라,박정민,,,,,
부러진 화살,정지영,2012-01-18,453,25878110500,3450941,7619815000,972059,드라마,15세이상관람가,20113535,안성기 박원상 나영희 김지호 이승훈 이춘연 이홍표 임태연 장길수 장현남 전윤희 조세래 조완기 조유미 최린 최필선 한현근 허웅 이미화 김지연 이익태 이지석 배연태 백성기 신종훈 오대환 정원중 조동인 김준배 조덕제 박길수 한기중 이제희 김응수 한사명 이정민,안성기,박원상,나영희,김지호,이승훈,,,,,
26년,조근현,2012-11-29,604,21241327145,2963449,6121058611,817210,액션,15세이상관람가,20088506,진구 한혜진 임슬옹 배수빈 이경영 장광 천우희 이현걸 전종석 정광재 지성용 김병오 이상훈 이경영 정현진 이미도 조덕제 김의성 김도윤 김태준 김기천 이상훈 정희태 한사명 박서연,진구,한혜진,임슬옹,배수빈,이경영,,,,,
내가 살인범이다,정병길,2012-11-08,547,20338948000,2721903,6313599000,809580,액션,청소년관람불가,20124075,정재영 박시후 최원영 김영애 정건영 장규미 장금단 권귀덕 정용현 정진근 금경배 김경석 최신호 최은애 강봉성 이상문 박윤호 이용희 박규범 백동현 서강호 오병호 유희원 윤봉철 배성우 손종학 한제인 최희진 장광 조은지 이봉련 백현주 류제승 김종구 차청화 한사명 남정희 김민상 김자금,정재영,박시후,최원영,김영애,정건영,,,,,
후궁 : 제왕의 첩,김대승,2012-06-06,624,19250354500,2621436,5525028500,716851,사극,청소년관람불가,20113533,조여정 김동욱 김민준 조은지 박지영 이경영 박철민 장지민 전주병 정일원 홍수지 신민철 안석환 오지혜 이용녀 박충선 최정현,조여정,김동욱,김민준,조은지,박지영,,,,,
화차,변영주,2012-03-08,548,18450760000,2435211,6041917500,760953,미스터리,15세이상관람가,20124050,이선균 김민희 조성하 송하윤 차수연 임남숙 임순옥 장대윤 황남희 박지혜 송성원 오기민 최덕문 이희준 진선규 최일화 김성태 민성욱 김수진 박해준 박지은,이선균,김민희,조성하,송하윤,차수연,,,,,
7번방의 선물,이환경,2013-1-23,787,91431914670,12811206,22800931670,3070053,코미디,15세이상관람가,20127593,류승룡 박신혜 갈소원 정진영 오달수 박원상 김정태 정만식 김기천 장호준 김동민 박수진 박유경 박정배 조덕현 박상면 조재윤 박길수 이승연 김봉수 정희태 이윤희 오창경 한이진,류승룡,박신혜,갈소원,정진영,오달수,,,,,
변호인,양우석,2013-12-18,923,82856578300,11372451,22571929000,2978688,드라마,15세이상관람가,20134803,송강호 김영애 오달수 곽도원 임시완 송영창 정원중 조민기 이항나 이성민 차광수 한기중 심희섭 김동현 조완기 차은재 최주희 주명철 조선묵 유하복 김봉환 지건우 최은석 최현 최정현 박상현 신안진 조기왕 조유신 이선희 장리우 정준원 이정은 이진희 민경옥 정성화 박성근 신승용 김찬이 원호섭 윤탁 한승도 조용준 정재민 권오진 이설구 노영하 장우진 이해성 김승태 신욱 황건 권영국 양명헌 정원조 윤준호 이호원 설창희 홍도성 김형석 김호진 양정인 이동현 이정건 김리후 육미옥 김호연 백성식 김선주 김가영 이준기 이형은 김서영 오병남 전광진 조현덕 김경인 이상호 김성민 류수영 박수영 이경인 최태환 김서영 이현정 설창희 양도현,송강호,김영애,오달수,곽도원,임시완,,,,,
관상,한재림,2013-9-11,1190,66005451500,9134586,19311179000,2561744,사극,15세이상관람가,20126091,송강호 이정재 백윤식 조정석 이종석 김혜수 신기원 윤종구 윤희원 이도엽 권영각 김길동 정준식 조훈휘 표유신 하정수 한만영 노준표 문혜진 박진우 전신환 김강현 유재명 김의성 정대용 김근영 서현우 이규형 이유준 김태우 윤경호 최교식 박기만 주광현,송강호,이정재,백윤식,조정석,이종석,,,,,
설국열차,봉준호,2013-8-1,1128,64016480000,8914845,18975866000,2550437,SF,15세이상관람가,20126674,크리스 에반스 송강호 에드 해리스 존 허트 틸다 스윈튼 제이미 벨 옥타비아 스펜서 이완 브렘너 고아성 알리슨필 허찬,크리스에반스,송강호,에드해리스,존허트,틸다스윈튼,,,,,
베를린,류승완,2013-1-30,894,52354931637,7166199,16070379637,2118794,액션,15세이상관람가,20124083,하정우 한석규 류승범 전지현 이경영 최무성 곽도원 김서형 백승익 배정남 곽진석 김서원,하정우,한석규,류승범,전지현,이경영,,,,,
은밀하게 위대하게,장철수,2013-6-5,1341,48663939413,6953800,12415574413,1691014,액션,15세이상관람가,20126672,김수현 박기웅 이현우 손현주 박혜숙 김성균 고창석 장광 신정근 홍경인 이채영 박은빈 최우식 이연경 이재남 이주원 장하은 장하진 황의준 송경호 이명규 주현 조영진 성유빈 원현준 이재우,김수현,박기웅,이현우,손현주,박혜숙,,,,,
더 테러 라이브,김병우,2013-7-31,743,39866712881,5583596,11349884881,1525130,범죄,15세이상관람가,20136052,하정우 이경영 전혜진 이다윗 이재관 이춘연 장성환 전려경 박수화 김홍파 김대명 최진호 김소진 강진아 최대훈 강신철 한수현 손성찬 최정현,하정우,이경영,전혜진,이다윗,이재관,,,,,
숨바꼭질,허정,2013-8-14,779,39593038500,5602543,10079982000,1356936,스릴러,15세이상관람가,20136049,손현주 문정희 전미선 장채린 김수안 김원해 노수산나 정준원 김근영 성유빈 주석태 정민성 김혜윤 김자영,손현주,문정희,전미선,장채린,김수안,,,,,
감시자들,"조의석,김병서",2013-7-3,949,39298005179,5496547,11031549179,1477594,범죄,15세이상관람가,20122783,설경구 서지원 정우성 한효주 진경 이준호 임달화 손민석 김대진 이태형 이동휘 이화정 김진곤 박지훈 김지훈 신성일 변요한 정우근 장원형 장유리 조도연 지영준 한영주 문성렬 박영진 박지연 백동현 신경철 이가람 이상민 김병옥 윤돈선 강신하 이동진,설경구,서지원,정우성,한효주,진경,,,,,
신세계,박훈정,2013-2-21,671,34881330905,4682492,11114978905,1435648,범죄,청소년관람불가,20124401,이정재 최민식 황정민 박성웅 송지효 정영기 이경영 정군 정민욱 정종화 최봉록 권지훈 한동욱 한재덕 허명행 남경민 신수정 연영식 김병옥 김홍파 장광 정재헌 김윤성 최일화 리우진 박인수 권태원 정민성 류성현 곽진석 김서원,이정재,최민식,황정민,박성웅,송지효,,,,,
용의자,원신연,2013-12-24,807,30037161000,4131248,7563772000,997760,액션,15세이상관람가,20124938,공유 박희순 조성하 유다인 김성균 조재윤 김민재 김의성 송재림 최종률 남보라 기주봉 이채윤 이현명 이현우 박진수 신나라 신창환 차현준 최두리 최태환 이민수 이병훈 이성제 김경호 이언정 이재혁 김기환 김은영 김정훈 김주영 김진아 김태현 류정은 문용군 송재호 박찬영 서현우 원현준 정아미 정종열 조혜선 박지일 이동진 이상협,공유,박희순,조성하,유다인,김성균,,,,,
박수건달,조진규,2013-1-9,599,28343986569,3893216,6808915069,894127,코미디,15세이상관람가,20124935,박신양 김정태 엄지원 정혜영 김성균 최일화 최지호 김형범 장원종 이충재 장성진 장진 조용우 김에스라 현태환 서형찬 이덕화 정윤선 김홍파 이양희 정민성 김경룡 홍기준 김남순 설창희 박세진,박신양,김정태,엄지원,정혜영,김성균,,,,,
스파이,이승준,2013-9-5,785,24436429305,3423920,5483475805,733029,액션,15세이상관람가,20124086,설경구 문소리 다니엘 헤니 고창석 한예리 라미란 서승인 이대수 이성제 최승현 오대환 이무생 강석철 김종수 조영진 김소진 차순배 서현우 이나라 박지연 정인기 한이진 양도현 김송일,설경구,문소리,다니엘헤니,고창석,한예리,,,,,
친구 2,곽경택,2013-11-14,968,21804687513,2971475,5171825013,675887,액션,청소년관람불가,20137044,유오성 주진모 김우빈 김미진 최종석 한기준 문혜지 황순영 신승찬 양혜경 이재덕 정종호 정현수 이준혁 장영남 이철민 이동훈 기주봉 정호빈 한재영 지승현 황성준 조민준 장지건 고우림 주석태 최정현 유정호 이언수,유오성,주진모,김우빈,김미진,최종석,,,,,
감기,김성수,2013-8-14,806,21784202000,3119023,4692878000,638882,드라마,15세이상관람가,20124937,장혁 수애 박민하 유해진 이희준 김기현 이상엽 박효주 박정민 최병모 마동석 차인표 정석원 나기찬 정재형 김남준 한승희 전상진 이영수 한정학 이학수 장슬기 김태준 박성철 박예슬 박진혁 박희권 유순철 나윤성 남문철 이윤희 설창희 최정현 김서원 양도현 이람 이동진,장혁,수애,박민하,유해진,이희준,,,,,
명량,김한민,2014-7-30,1587,135748398910,17613682,33121225810,4163666,사극,15세이상관람가,20129370,최민식 류승룡 조진웅 김명곤 진구 이정현 권율 노민우 이승준 오타니 료헤이 박보검 박원우 서성광 오명훈 유명환 윤희경 이윤기 정수남 정순태 정의석 김원해 이해영 장준녕 김길동 김강일 강태영 하형원 한상대 김동원 김민석 김민식 김재철 김준형 김현중 박선용 박노식 최덕문 조복래 문영동 이주실 주석태 이성우 고경표 김태훈 한이진 신유람 송대중,최민식,류승룡,조진웅,김명곤,진구,,,,,
국제시장,윤제균,2014-12-17,966,110828014630,14245998,25842519330,3233946,드라마,12세이상관람가,20137048,황정민 김윤진 오달수 정진영 장영남 라미란 김슬기 정영기 맹세창 김동원 김현중 김지영 황창기 박재우 박찬희 김예빈 김재철 김하연 김재현 이소영 류경현 황인준 이종석 이진희 전희경 박재언 유재상 김선영 정윤호 박길수 박영수 김근영 허동원 현봉식 강신철 손영순 박혜진 유정호 남진복 신정섭,황정민,김윤진,오달수,정진영,장영남,,,,,
해적: 바다로 간 산적,이석훈,2014-8-6,838,66240631706,8646758,14906345006,1868694,어드벤처,12세이상관람가,20136064,김남길 손예진 유해진 김대윤 이경영 오달수 김태우 박철민 신정근 김원해 조달환 조희봉 정성화 최진리 이이경 강대욱 서왕석 서재현 서진석 서현석 성호제 송용호 심윤보 엄세현 유민경 이동철 장지웅 정경우 차민호 권성영 김경식 김기환 김대현 김재학 김주동 김준아 김한준 도현운 안내상 이대연 전배수 김강일 박해수 현봉식 우상기 곽진무 홍인 최정현 주광현,김남길,손예진,유해진,김대윤,이경영,,,,,
수상한 그녀,황동혁,2014-1-22,692,62696639249,8656397,15358810049,2042110,드라마,15세이상관람가,20131102,심은경 나문희 박인환 성동일 이진욱 김현숙 황정민 김슬기 박형우 신재훈 박인환 이태식 박재홍 서진호 양태규 정상원 정은임 정종혁 조명행 진영 한상경 한흥석 김경아 이주희 김동욱 김동희 김민준 김선하 김순찬 김영웅 김용진 김재섭 김정원 박선희 한지은 김수현 황영희 장광 전우재 강필선 김가희 황승언 임현성 정인기 이장유 하연주 박혜진 김남순 조혜선,심은경,나문희,박인환,성동일,이진욱,,,,,
군도: 민란의 시대,윤종빈,2014-7-23,1394,36987755999,4774895,9976707399,1239945,사극,15세이상관람가,20123501,하정우 강동원 최귀화 이성민 조진웅 마동석 윤지혜 정만식 김성균 김재영 주진모 이경영 신나라 정두홍 조남희 조현도 김광현 김병주 김영철 김지선 김태수 노남석 송영창 이경영 김병옥 주영호 한예리 김시은 김해숙 정대용 정재헌 박명신 임현성 강신철 윤경호,하정우,강동원,최귀화,이성민,조진웅,,,,,
타짜-신의 손,강형철,2014-9-3,890,32267244827,4001813,8495857527,1016403,드라마,청소년관람불가,20134804,최승현 신세경 곽도원 유해진 김윤석 이하늬 김인권 이경영 고수희 오정세 박효주 백승찬 양성우 우민호 윤지환 이승원 이승훈 이영민 이원호 정동근 조연우 한준우 홍승철 황현서 김원영 김장미 문도선 이준혁 김새벽 배유람 안재홍 이동휘 김원해 최종률 고준 조경현 박수영 이성욱 송재룡 천우희 배진웅 윤경호 정다원 하성광 곽자형 곽수정 김민상 양도현 김종태 김송일,최승현,신세경,곽도원,유해진,김윤석,,,,,
역린,이재규,2014-4-30,1054,29893297890,3849433,8426821290,1044988,사극,15세이상관람가,20139183,현빈 정재영 조정석 한지민 조재현 박성웅 김성령 정은채 강민지 박지혜 석현 정성민 조정민 최용식 이상현 한대룡 이수봉 홍남희 김고운 이승주 이승주 이승훈 이언정 이용출 이용출 이정수 김기수 김나현 김도연 김두루 김현진 송영창 김대명 천보근 서이숙 성유빈 고보결 이성우 한수현 전국향 곽자형 배우경,현빈,정재영,조정석,한지민,조재현,,,,,
신의 한 수,조범구,2014-7-3,794,28777712256,3562123,8104315156,965372,범죄,청소년관람불가,20139201,정우성 안성기 이범수 김인권 이시영 안길강 최진혁 홍성덕 정윤선 강다혜 박지훈 백동현 서병덕 고용석 윤정희 이다혜 최두엽 최시은 최제헌 이명희 권태원 이은지 이정호 이주희 김선웅 김주형 김태진 박갑진 유재상 김홍파 유순철 김명수 안서현 이용녀 최일화 김소진,정우성,안성기,이범수,김인권,이시영,,,,,
끝까지 간다,김성훈,2014-5-29,645,27006007900,3450143,7567987400,927324,액션,15세이상관람가,20130442,이선균 조진웅 신정근 정만식 신동미 김동영 박보검 박진성 정하철 윤종현 이승준 이지훈 김보경 이영수 김재철 김진환 배유람 김강현 기주봉 장인섭 장준녕 김해곤 서현우 이준혁 주석태 김승훈 이장유 김그림 허정은,이선균,조진웅,신정근,정만식,신동미,,,,,
표적,창,2014-4-30,665,22256359300,2841788,5348606900,652750,액션,15세이상관람가,20139164,류승룡 유준상 이진욱 김성령 조여정 조은지 진구 강구현 배정현 서동필 임일규 정순태 홍성민 김동준 김대명 김영재 이현욱 장준녕 변상윤,류승룡,유준상,이진욱,김성령,조여정,,,,,
기술자들,김홍선,2014-12-24,641,19894297783,2564340,4534671083,564420,범죄,15세이상관람가,20149265,김우빈 김영철 고창석 이현우 조윤희 임주환 조달환 권지훈 김원진 노선식 박갑진 유원선 윤대원 윤주환 이상민 이수민 채성원 천준호 최현우 최춘범 한지은 지승현 장지건 허준석 허지원 이장유 김사희 최다니엘 최정현 정성일,김우빈,김영철,고창석,이현우,조윤희,,,,,
나의 사랑 나의 신부,임찬상,2014-10-8,629,16592056305,2135614,4663682705,571741,멜로/로맨스,15세이상관람가,20147930,조정석 신민아 윤정희 이상희 전예원 조아라 김광수 김보미 김선하 김은비 박주운 신영일 배성우 라미란 윤문식 황정민 서강준 김형욱 김근영 고규필 강신철 박지연 이장유 조현식 손병욱,조정석,신민아,윤정희,이상희,전예원,,,,,
남자가 사랑할 때,한동욱,2014-1-22,531,14510222300,1979311,3441120300,448985,멜로/로맨스,15세이상관람가,20137043,황정민 한혜진 곽도원 정만식 손세빈 백동현 이확광 임정빈 임희준 양준호 조왕섭 조화성 최제헌 이성호 한동욱 권지훈 허명행 황병국 김정수 남경민 문성렬 박성웅 이채은 김병옥 김홍파 남일우 김태희 김종수 최우리 남문철 박지환 강민아 정희태 곽진석 김서원 박혁민 손병욱,황정민,한혜진,곽도원,정만식,손세빈,,,,,
제보자,임순례,2014-10-2,676,13371522302,1735640,3805990802,474188,드라마,12세이상관람가,20134589,박해일 유연석 이경영 박원상 류현경 송하윤 김강현 김수안 김중기 이봉규 이승준 박세정 서지원 안수정 양대성 정보현 조남호 최성진 황현태 김경란 김도윤 김유민 김지은 유재명 장문규 김새벽 정훈석 최희진 김원해 장광 김영재 황정민 한기중 이미도 최용민 권해효 남명렬 이화룡 박성근 최교식 전수지 오창경 권범택 남진복 김태훈,박해일,유연석,이경영,박원상,류현경,,,,,
두근두근 내 인생,이재용,2014-9-3,629,12191623034,1611519,2557981934,322968,드라마,12세이상관람가,20134594,김승욱 송혜교 강동원 조성목 백일섭 황석정 안현정 강상대 신동길 양승걸 이강진 전상원 정동혁 정해진 허준석 김동섭 김소진 김승찬 김화목 도현민 박광설 채서진 김태준 오희준 서현 홍완표 최정현 신정섭 이동민,김승욱,송혜교,강동원,조성목,백일섭,,,,,
베테랑,류승완,2015-8-5,1064,105024756250,13395400,26766369950,3290366,액션,15세이상관람가,20148048,황정민 유아인 유해진 오달수 장윤주 김시후 오대환 정웅인 정만식 송영창 진경 유인영 박소담 이동휘 배성우 천호진 이채은 조덕현 신지수 권지훈 정윤헌 장한승 김선웅 김성종 우영택 김민재 김재현 김태용 김지수 박지윤 박지혜 손성민 장소연 유재명 배제기 류아벨 정재헌 안길강 마동석 김응수 고규필 서현우 강영묵 한수현 김기천 이문석 이상희 김서원,황정민,유아인,유해진,오달수,장윤주,,,,,
암살,최동훈,2015-7-22,1519,98463132781,12705700,25306651181,3155960,액션,15세이상관람가,20148851,전지현 이정재 하정우 오달수 조진웅 이경영 최덕문 김의성 박병은 김홍파 강용빈 홍성지 지동주 장현석 장용현 김민지 김승찬 안태랑 김예은 김정석 김정호 김지원 박상민 박정환 조승우 김해숙 진경 박소은 김인우 심희섭 김태준 차지원 강영묵 정기섭 금새록 원현준 안민영 허지원 곽자형 허정도 유정호 정인겸 김서원 김준우,전지현,이정재,하정우,오달수,조진웅,,,,,
히말라야,이석훈,2015-12-16,1009,60173583015,7759473,13920553930,1738016,드라마,12세이상관람가,20136068,황정민 정우 조성하 김인권 라미란 김원해 이해영 전배수 정유미 유선 한명환 김재준 박민우 배상민 이춘우 이혜진 최종률 조달환 김태강 권오상 손영순 유정호,황정민,정우,조성하,김인권,라미란,,,,,
내부자들,우민호,2015-11-19,1075,56596582057,7071763,16340245357,1972885,범죄,청소년관람불가,20149314,이병헌 조승우 백윤식 이경영 김홍파 배성우 조재윤 김대명 조우진 이엘 정만식 김병옥 김의성 박진우 남일우 김연지 김진우 문소리 박경순 설우신 손혜진 신정미 윤보배 이선관 이재남 이재정 이주아 신지수 장현준 최정연 황준혁 손종학 조덕제 유재명 조경현 권태원 강신철 정민성 박성근 정종열 문광식 이문석 이동진,이병헌,조승우,백윤식,이경영,김홍파,,,,,
사도,이준익,2015-9-16,1210,48842902501,6246849,12987928301,1606486,사극,12세이상관람가,20148846,송강호 유아인 문근영 전혜진 김해숙 박원상 진지희 박소담 서예지 이효제 곽동호 최희영 정호 이현철 김상훈 이민혜 김경원 김대환 김민규 양지혜 안현숙 김우진 이대연 최덕문 정석용 최민철 안정우 조승연 차순배 박명신 박윤호 권범택 김서원 안태훈,송강호,유아인,문근영,전혜진,김해숙,,,,,
연평해전,김학순,2015-6-24,1013,45560620330,6043458,9906059630,1265879,드라마,12세이상관람가,20134798,김무열 김율호 진구 이현우 이완 이청아 이한종 박찬희 박혜준 최순조 최승준 최종환 송재호 유형균 박정학 이철민 김강일 김희정 한창현 장의수 한이진 천지유,김무열,김율호,진구,이현우,이완,,,,,
검은 사제들,장재현,2015-11-5,1088,42395347092,5440945,11618059792,1428491,미스터리,15세이상관람가,20145503,김윤석 강동원 박소담 김병옥 김의성 이호재 남일우 김동현 김미영 김혜민 박지수 송선찬 이상민 이승훈 이현우 손종학 조수향 남문철 김수진 민진웅,김윤석,강동원,박소담,김병옥,김의성,,,,,
조선명탐정 : 사라진 놉의 딸,김석윤,2015-2-11,811,30456879428,3872015,6908501928,845522,사극,12세이상관람가,20149570,김명민 오달수 이연희 강다현 전건익 정명철 박지선 배영민 정혜은 조관우 조명행 최지명 송병철 김나현 이경용 이귀현 이낙준 한대룡 이선도 이성동 이용우 김태환 정원중 남윤나 류광일 류현상 최무성 김원해 우현 황정민 이정은 박수영 권범택 현우,김명민,오달수,이연희,강다현,전건익,,,,,
스물,이병헌,2015-3-25,926,23558988686,3044134,5990587486,740243,코미디,15세이상관람가,20148845,김우빈 이준호 강하늘 정덕희 주창욱 권지훈 오하늬 오현경 이성두 정소민 안재홍 이유비 김의성 김종수 황미영 서호철 박명신 양현민 허준석 한준우 백수희 차민지 정주연 홍완표 곽진석,김우빈,이준호,강하늘,정덕희,주창욱,,,,,
극비수사,곽경택,2015-6-18,894,22389535897,2860786,5828885297,717981,드라마,15세이상관람가,20148855,김윤석 유해진 송영창 장영남 정호빈 이준혁 이종일 장성훈 정규용 정기용 백승호 이효제 최원 송승현 신유경 양중경 유주영 홍명기 이석현 이소영 이승준 이윤희 이인규 주영호 박효주 이재용 남문철 황성준 조민준 장지건 현봉식 김태훈 천명재 이언수,김윤석,유해진,송영창,장영남,정호빈,,,,,
탐정 : 더 비기닝,김정훈,2015-9-24,764,20463956973,2625686,4092941173,504961,코미디,15세이상관람가,20156557,권상우 성동일 박해준 이승준 조복래 오정세 박준면 이일화 서영희 강민지 홍서현 천유나 차승연 정종훈 정승연 이현기 이찬희 김승배 김은지 김하늘 김희영 모일영 박민철 박성일 박시영 박지혜 최성원 홍은택 이해영 지대한 진용욱 한창현 민무제 윤경호 김태훈,권상우,성동일,박해준,이승준,조복래,,,,,
강남 1970,유하,2015-1-21,841,17717971499,2192172,4859661899,586992,액션,청소년관람불가,20136888,이민호 김래원 정진영 설현 유승목 한재영 이연두 정호빈 최진호 엄효섭 최병모 지대한 전배수 윤종화 서우진 이인혁 이정완 이주협 박소희 박시연 이한울 임성숙 장준혁 전우재 강풍 박재영 박재희 박준영 정영택 백동현 정창용 조선기 서현석 천영암 손재영 주연서 신영규 양진석 오형근 윤지원 이규석 김원진 이성용 이성준 이세훈 황재진 이원희 이은주 안정우 정진영 김지수 곽민호 이가경 한준우 이성우 임용순 박기륭 유정호 신유람 박태산 남진복 박혁민 서병철,이민호,김래원,정진영,설현,유승목,,,,,
악의 연대기,백운학,2015-5-14,776,17360123332,2192243,4131865932,498114,스릴러,15세이상관람가,20149569,손현주 마동석 최다니엘 박서준 이준혁 이태호 이현우 강민정 조은수 서정우 최동헌 안용우 이명준 이성재 이용희 이은정 정원중 지대한 장준녕 정준원 한수현 배진웅 송훈 권유준,손현주,마동석,최다니엘,박서준,이준혁,,,,,
내부자들: 디 오리지널,우민호,2015-12-31,838,16973885275,2083999,4701340971,564863,범죄,청소년관람불가,20150025,신지수 이병헌 조승우 백윤식 이경영 김홍파 배성우 조재윤 김대명 조우진 이엘 정만식 김병옥 박진우 남일우 김의성 손종학 조덕제 유재명 권태원 강신철 정민성 박성근 이문석 이동진,신지수,이병헌,조승우,백윤식,이경영,,,,,
뷰티 인사이드,백,2015-8-20,648,16152717131,2053947,5031538031,611979,판타지,12세이상관람가,20143572,한효주 김대명 도지한 배성우 박신혜 이범수 박서준 김상호 천우희 우에노 주리 이재준 김민재 이현우 조달환 이진욱 홍다미 서강준 김희원 이동욱 고아성 김주혁 유연석 이동휘 문숙 이경영 최용민 이미도 신동미 김시은 유재상 오상철 임예진 정두원 박지현 정은교 조유덕 차수보 차정환 손영진 신예진 유보라 윤여진 이미애 홍승철 이성준 이소연 이슬기 이승대 이진성 공민정 고규필 이봄 손슬기 박근록 이지민 우상기 박민수 권기하 장의수 손성찬 윤기창,한효주,김대명,도지한,배성우,박신혜,,,,,
부산행,연상호,2016-7-20,1788,93175877048,11565078,23020827248,2754686,액션,15세이상관람가,20156564,공유 김정희 정유미 이주원 김율호 이영욱 마동석 김운 최우식 안소희 김의성 김수안 박민우 박민혁 임종훈 박종관 장문성 박혜진 손지훈 손지훈 연상호 조춘호 지동현 윤미중 이동하 이윤상 최창수 편준의 허성우 황유경 최용훈 김근영 이주실 예수정 김대현 한지은 박명신 이육헌 김시우 백인권 차청화 류성록 주광현,공유,김정희,정유미,이주원,김율호,,,,,
검사외전,이일형,2016-2-3,1812,77252755264,9699092,18302525664,2219587,범죄,15세이상관람가,20145507,황정민 강동원 이성민 박성웅 김응수 신소율 주진모 김원해 김홍파 김병옥 박종환 전배수 박지환 손종학 신혜선 김시은 김종수 한재영 박지환 박종우 박지홍 송승현 윤석민 이규호 이석준 이선주 이승우 이승준 이승훈 이승훈 최현준 김영 이정은 장지건 한창현 정기섭 민무제 손성찬 윤경호 최교식 류성현 백익남 백인권 전광진 임용순 박윤호 최정현 남진복 염석무 이형훈 이승민,황정민,강동원,이성민,박성웅,김응수,,,,,
밀정,김지운,2016-9-7,1444,61158644831,7487545,15436298021,1827424,액션,15세이상관람가,20159646,송강호 공유 한지민 츠루미 신고 엄태구 신성록 서영주 박민우 이진한 이진한 임서영 임서영 전수빈 정유안 조권수 조윤담 이상희 이수광 이승진 하민 노준표 김정우 김태준 고준 오하늬 원진아 전여빈 최유화 이병헌 허성태 김동영 주석태 금새록 전배수 곽자형 옥자연 홍인 백인권 이상희 최희도 조영규 양도현 이동진,송강호,공유,한지민,츠루미,신고,,,,,
터널,김성훈,2016-8-10,1105,57510324417,7118592,14121558017,1675010,드라마,12세이상관람가,20164928,에이미 아담스 제이크 질렌할 마이클 섀넌 애런 존슨 아일라 피셔 아미 해머 로라 린니 안드레아 라이즈보로 마이클 쉰 그레이엄 베켈 닐 잭슨 지나 말론 크리스틴 바우어,에이미아담스,제이크질렌할,마이클새넌,애런존슨,아일라피셔,,,,,
인천상륙작전,이재한,2016-7-27,1049,55101410303,7049643,11459996563,1427944,전쟁,12세이상관람가,20156250,김정철 이정재 이범수 리암 니슨 진세연 정준호 박철민 김병옥 김선아 김영애 박성웅 추성훈 황석하 이창세 박정원 박현선 션 리차드 한비 김희진 진용욱 곽순우 홍기준 우도환 성혁 길금성,김정철,이정재,이범수,리암니슨,진세연,,,,,
